x, oracle, model
-0.684884555838404, -0.171348726484368, -0.17700292317243
-0.68459752741, -0.171014221351906, -0.176684655459425
-0.684075505557332, -0.170406981121481, -0.176106850922208
-0.683928411923433, -0.170236137597787, -0.175944279452079
-0.683320918326417, -0.169531779551591, -0.175273981289688
-0.681960319559954, -0.167961360484586, -0.173779241785677
-0.681730711200304, -0.167697313726616, -0.173527884077276
-0.680313527482358, -0.166073753912856, -0.171982118134136
-0.679020444266089, -0.164601629758495, -0.170580187918763
-0.678841877606527, -0.164399031564819, -0.170387224079717
-0.67815922177812, -0.163626051136204, -0.16965094369591
-0.677752745835338, -0.163166956839142, -0.16921360259121
-0.677509923385547, -0.162893115042103, -0.168952720493436
-0.677437388143209, -0.162811373821681, -0.168874845434898
-0.677388819524914, -0.162756656437034, -0.168822715462847
-0.677317977993694, -0.162676868588961, -0.168746699685676
-0.677268925656179, -0.162621637037308, -0.168694078687561
-0.675588020993962, -0.160736601122982, -0.166897849451922
-0.675389740607598, -0.160515215517531, -0.16668685621358
-0.674964735225524, -0.160041376346416, -0.166235233445293
-0.674894422335536, -0.159963075220568, -0.166160600021819
-0.672544437645685, -0.157360905947869, -0.163679742756208
-0.671542278669825, -0.156259915981864, -0.162629737790149
-0.670550325657444, -0.155175250254454, -0.161595097386121
-0.670027643081153, -0.15460575666501, -0.161051787108765
-0.668246058071522, -0.152675170048396, -0.159209534546284
-0.668056543826292, -0.152470764329646, -0.159014442250543
-0.667343178529251, -0.151702993535354, -0.158281585763991
-0.666732281224402, -0.151047573581888, -0.157655885361084
-0.666421853718731, -0.150715251962158, -0.157338602234972
-0.665849862942545, -0.150104206033009, -0.156755154056082
-0.664846806578091, -0.149036682564905, -0.155735676054273
-0.662372739858954, -0.146425422743522, -0.153241013516089
-0.661843781407526, -0.145871146490267, -0.152711313666206
-0.661315207366657, -0.145318681246641, -0.15218328303757
-0.660353744742863, -0.144317363729884, -0.15122609386389
-0.659280670309546, -0.14320528542833, -0.150162782584057
-0.658205982594589, -0.142097310281855, -0.149103136080264
-0.655618906086717, -0.139453703407149, -0.146573769353989
-0.655283447824592, -0.139113348816792, -0.146248010488354
-0.654571049875654, -0.138392399824525, -0.145557892169555
-0.654216588423928, -0.138034618218924, -0.14521536678857
-0.653679818192965, -0.137494000666658, -0.144697745956006
-0.652750828963961, -0.136561707414739, -0.143804950862938
-0.652660738848503, -0.136471522742335, -0.143718576195982
-0.650408981556171, -0.1342303360091, -0.141571446981098
-0.64964235544585, -0.133472968187497, -0.140845587236667
-0.648081874779231, -0.131940177333919, -0.139376123475604
-0.647834248238857, -0.131698032674784, -0.139143928241726
-0.647774922104491, -0.131640064055135, -0.139088339239041
-0.647202573872061, -0.131081688661548, -0.138552840609541
-0.646541205452696, -0.130438441517435, -0.137935846479722
-0.646006859397912, -0.1299202805022, -0.137438753828359
-0.645972136585326, -0.129886657124093, -0.13740649510365
-0.645937329232425, -0.12985295772152, -0.137374163136968
-0.644459257640719, -0.128427321833752, -0.136006095296013
-0.643917983263267, -0.127907877850317, -0.135507488729121
-0.642066399302111, -0.126141586385156, -0.133811486546371
-0.642058785506389, -0.126134357155724, -0.13380454318051
-0.641925237421262, -0.126007599452387, -0.133682795379826
-0.641659996546353, -0.125756097300972, -0.13344121973329
-0.641654925097998, -0.125751291807791, -0.133436603729266
-0.641097978598826, -0.125224298244522, -0.132930349696827
-0.64102971980803, -0.125159812066949, -0.132868395765723
-0.640410435416743, -0.124575767688552, -0.132307229916048
-0.638451144968832, -0.122739954885209, -0.130542665563139
-0.638016631708195, -0.122335285880958, -0.130153563502693
-0.636067598874577, -0.120531065484422, -0.128418122956028
-0.63554170175168, -0.120047300145264, -0.12795262253071
-0.634990353278203, -0.119541513814849, -0.127465850906058
-0.634815227929287, -0.119381158089504, -0.12731150608593
-0.634472694652943, -0.119067927647379, -0.127009992469922
-0.634363202818766, -0.11896791817095, -0.126913717118544
-0.633964554749081, -0.118604267165442, -0.126563615824358
-0.6326932023807, -0.117449473203392, -0.125451553190202
-0.632619302881773, -0.117382580114091, -0.125387121396107
-0.63249104275571, -0.117266540558061, -0.125275347787235
-0.63211188483756, -0.116923955302239, -0.12494532971234
-0.63204082017346, -0.116859819603265, -0.124883542187788
-0.631640477052456, -0.116498948382187, -0.124535856562304
-0.630697959567371, -0.115652288916818, -0.123719951982759
-0.629526060141899, -0.114605299620851, -0.122710638597005
-0.627603288315206, -0.112901161134082, -0.121066959214639
-0.626961875517379, -0.112336451781071, -0.120522042436172
-0.626189294771434, -0.111658756192607, -0.119867936876751
-0.626053686978523, -0.111540084149628, -0.119753377270454
